Script_RequestBattlegroundInstanceInfo 0xDFE5D0
Script_GetMaxBattlefieldID 0xDFCDD0
Script_ClearBattlemaster 0xDFE730
Script_GetBattlegroundPoints 0xDFE780
Script_HonorSystemEnabled 0xDFE810
Script_KBSetup_BeginLoading 0xE51A10
Script_KBSetup_IsLoaded 0xE51C80
Script_KBSetup_GetLanguageCount 0xE51CA0
Script_KBSetup_GetLanguageData 0xE51CE0
Script_KBSetup_GetCategoryCount 0xE51F10
Script_KBSetup_GetCategoryData 0xE51F50
Script_KBSetup_GetSubCategoryCount 0xE52050
Script_KBSetup_GetSubCategoryData 0xE520E0
Script_KBSetup_GetArticleHeaderCount 0xE52200
Script_KBSetup_GetArticleHeaderData 0xE52240
Script_KBSetup_GetTotalArticleCount 0xE52510
Script_KBQuery_BeginLoading 0xE525A0
Script_KBQuery_IsLoaded 0xE52770
Script_KBQuery_GetArticleHeaderCount 0xE52790
Script_KBQuery_GetArticleHeaderData 0xE527D0
Script_KBQuery_GetTotalArticleCount 0xE52AA0
Script_KBArticle_BeginLoading 0xE52B30
Script_KBArticle_IsLoaded 0xE52D80
Script_KBArticle_GetData 0xE52DA0
Script_KBSystem_GetMOTD 0xE53080
Script_KBSystem_GetServerStatus 0xE530A0
Script_KBSystem_GetServerNotice 0xE530C0
Script_GetScreenResolutions 0xE6C630
Script_GetCurrentResolution 0xE6C720
Script_SetScreenResolution 0xE6C860
Script_SetupFullscreenScale 0xE6C940
Script_GetVideoCaps 0xE6CA50
Script_SetSelectedScreenResolutionIndex 0xE6D1F0
Script_GetMonitorCount 0xE6C4E0
Script_GetMonitorName 0xE6C5A0
Script_GetMonitorAspectRatio 0xE6C510
Script_GetToolTipInfo 0xE6CAF0
Script_GetCVarSettingValidity 0xE6CC40
Script_SetDefaultVideoOptions 0xE6CD20
Script_GetDefaultVideoOptions 0xE6CE90
Script_GetDefaultVideoOption 0xE6CF20
Script_GetDefaultGraphicsQuality 0xE6CFC0
Script_GetVideoOptions 0xE6D0C0
Script_GetGraphicsDropdownIndexByMasterIndex 0xE6CFF0
Script_GetGraphicsAPIs 0xE6D190
Script_GetDefaultVideoQualityOption 0xE6CD70
Script_AntiAliasingSupported 0xE6D240
Script_MultiSampleAntiAliasingSupported 0xE6D280
Script_SetCurrentGraphicsSetting 0xE6D380
Script_GetCurrentGraphicsSetting 0xE6D3F0
Script_AutoChooseCurrentGraphicsSetting 0xE6D420
Script_IsOutlineModeSupported 0xE6D440
Script_GetMaxRenderScale 0xE6D470
Script_GetMinRenderScale 0xE6D4A0
Script_GetCurrentScaledResolution 0xE6D4D0
Script_BNGetInfo 0xE6F7D0
Script_BNGetDisplayName 0xE6F8A0
Script_BNGetNumFriends 0xE6F940
Script_BNGetFriendInfo 0xE6F9C0
Script_BNGetFriendInfoByID 0xE6FA70
Script_BNSummonFriendByIndex 0xE6FB20
Script_BNGetNumFriendGameAccounts 0xE6FE40
Script_BNGetFriendGameAccountInfo 0xE6FF20
Script_BNGetGameAccountInfo 0xE70090
Script_BNGetGameAccountInfoByGUID 0xE70120
Script_BNRemoveFriend 0xE701B0
Script_BNSetFriendNote 0xE70240
Script_BNSetSelectedFriend 0xE71840
Script_BNGetSelectedFriend 0xE71920
Script_BNGetFriendIndex 0xE6FC80
Script_BNGetNumFriendInvites 0xE70560
